,0,1,2,3
0,"(3, 0.7807374)","(4, 0.216936)",,
1,"(0, 0.120160624)","(3, 0.8768475)",,
2,"(1, 0.169047)","(2, 0.6498955)","(4, 0.17898215)",
3,"(0, 0.9962612)",,,
4,"(4, 0.99421144)",,,
5,"(2, 0.9948325)",,,
6,"(4, 0.9926044)",,,
7,"(2, 0.99636096)",,,
8,"(0, 0.30262077)","(1, 0.69272107)",,
9,"(0, 0.6186299)","(4, 0.37820166)",,
10,"(0, 0.4478522)","(1, 0.14930609)","(3, 0.4008325)",
11,"(0, 0.9958981)",,,
12,"(0, 0.99527574)",,,
13,"(3, 0.6407151)","(4, 0.35638985)",,
14,"(4, 0.993117)",,,
15,"(3, 0.018747875)","(4, 0.9768855)",,
16,"(4, 0.9953027)",,,
17,"(1, 0.9937523)",,,
18,"(0, 0.9932079)",,,
19,"(2, 0.99491596)",,,
20,"(0, 0.04801273)","(1, 0.9495757)",,
21,"(4, 0.99672157)",,,
22,"(2, 0.9974901)",,,
23,"(2, 0.9959971)",,,
24,"(3, 0.6926545)","(4, 0.30054015)",,
25,"(2, 0.9077205)","(4, 0.08966572)",,
26,"(0, 0.76177746)","(4, 0.23544578)",,
27,"(1, 0.21419303)","(3, 0.7828454)",,
28,"(1, 0.99717444)",,,
29,"(1, 0.9958618)",,,
30,"(4, 0.9952822)",,,
31,"(0, 0.73514885)","(4, 0.26172125)",,
32,"(0, 0.8902903)","(3, 0.10186362)",,
33,"(1, 0.9966576)",,,
34,"(3, 0.9911472)",,,
35,"(4, 0.9950831)",,,
36,"(1, 0.049886033)","(4, 0.9470175)",,
37,"(3, 0.99462086)",,,
38,"(2, 0.6488262)","(4, 0.34598827)",,
39,"(1, 0.78640056)","(2, 0.20744905)",,
40,"(3, 0.96486473)",,,
41,"(0, 0.88186824)","(3, 0.11547642)",,
42,"(0, 0.99386066)",,,
43,"(2, 0.99265116)",,,
44,"(2, 0.9706879)","(3, 0.027443362)",,
45,"(1, 0.121005215)","(4, 0.87516445)",,
46,"(2, 0.9897163)",,,
47,"(2, 0.9609218)","(3, 0.03070929)",,
48,"(4, 0.9965957)",,,
49,"(2, 0.8959709)","(3, 0.100218676)",,
50,"(4, 0.9970212)",,,
51,"(0, 0.0107315155)","(1, 0.23125042)","(4, 0.7548034)",
52,"(4, 0.9862369)",,,
53,"(3, 0.9940449)",,,
54,"(0, 0.051427662)","(2, 0.30548272)","(3, 0.47172856)","(4, 0.17030646)"
55,"(0, 0.9962056)",,,
56,"(4, 0.9936044)",,,
57,"(3, 0.40994835)","(4, 0.5841033)",,
58,"(0, 0.29175562)","(3, 0.70581615)",,
59,"(0, 0.80054116)","(4, 0.19585669)",,
60,"(0, 0.30505878)","(1, 0.69192326)",,
61,"(2, 0.99561614)",,,
62,"(0, 0.40672827)","(4, 0.5883282)",,
63,"(0, 0.96427643)","(3, 0.029175924)",,
64,"(3, 0.9867677)",,,
65,"(0, 0.99425745)",,,
66,"(1, 0.11194982)","(3, 0.8823259)",,
67,"(0, 0.5367443)","(1, 0.45690978)",,
68,"(3, 0.58523464)","(4, 0.41188878)",,
69,"(0, 0.96461713)","(3, 0.032158587)",,
70,"(2, 0.99185425)",,,
71,"(0, 0.27548552)","(4, 0.7213659)",,
72,"(0, 0.9889755)",,,
73,"(3, 0.996367)",,,
74,"(0, 0.03047593)","(4, 0.96633637)",,
75,"(4, 0.9889596)",,,
76,"(0, 0.9886077)",,,
77,"(0, 0.72342396)","(1, 0.032450367)","(3, 0.23462605)",
78,"(4, 0.99483216)",,,
