,0,1,2,3
0,"(7, 0.99439675)",,,
1,"(2, 0.9984291)",,,
2,"(4, 0.9921759)",,,
3,"(1, 0.9946098)",,,
4,"(5, 0.99244857)",,,
5,"(3, 0.9903749)",,,
6,"(0, 0.06300931)","(1, 0.043805633)","(4, 0.70993185)","(5, 0.18208237)"
7,"(2, 0.24962257)","(4, 0.42428064)","(5, 0.32208264)",
8,"(4, 0.6546027)","(5, 0.34086666)",,
9,"(7, 0.9971158)",,,
10,"(5, 0.9950478)",,,
11,"(0, 0.20993629)","(1, 0.7316924)","(2, 0.056798775)",
12,"(5, 0.9962993)",,,
13,"(2, 0.31182036)","(5, 0.6848527)",,
14,"(5, 0.99612117)",,,
15,"(2, 0.33964828)","(7, 0.65465665)",,
16,"(6, 0.99546045)",,,
17,"(1, 0.9946504)",,,
18,"(1, 0.99669015)",,,
19,"(1, 0.47501948)","(5, 0.52178025)",,
20,"(1, 0.7324885)","(4, 0.26357365)",,
21,"(7, 0.99548066)",,,
22,"(6, 0.9961385)",,,
23,"(3, 0.01346354)","(4, 0.4594981)","(7, 0.5261398)",
24,"(7, 0.99467945)",,,
25,"(4, 0.9984155)",,,
26,"(5, 0.99395293)",,,
27,"(5, 0.9963307)",,,
28,"(1, 0.12995633)","(2, 0.75047445)","(5, 0.118147954)",
29,"(2, 0.998445)",,,
30,"(1, 0.98055375)","(2, 0.01693054)",,
31,"(0, 0.9934118)",,,
32,"(5, 0.99650824)",,,
33,"(0, 0.046913523)","(1, 0.059144553)","(4, 0.7046383)","(5, 0.18813555)"
34,"(4, 0.07067041)","(7, 0.9287419)",,
35,"(0, 0.88358647)","(6, 0.11080115)",,
36,"(2, 0.7327712)","(7, 0.26234958)",,
37,"(2, 0.9941162)",,,
38,"(5, 0.99188524)",,,
39,"(2, 0.99640673)",,,
40,"(0, 0.07983335)","(3, 0.03325253)","(5, 0.88461787)",
41,"(1, 0.5590272)","(3, 0.43548304)",,
42,"(2, 0.99738216)",,,
43,"(3, 0.31094152)","(6, 0.68525976)",,
44,"(3, 0.76141274)","(4, 0.23514007)",,
45,"(1, 0.99496436)",,,
46,"(0, 0.56749696)","(2, 0.37955147)","(7, 0.05191053)",
47,"(0, 0.04631238)","(2, 0.812083)","(3, 0.13953465)",
48,"(5, 0.9968091)",,,
49,"(4, 0.99867314)",,,
50,"(5, 0.9978668)",,,
51,"(1, 0.9968759)",,,
52,"(1, 0.99699736)",,,
53,"(2, 0.9978913)",,,
54,"(1, 0.9934074)",,,
55,"(6, 0.9952629)",,,
56,"(6, 0.65371853)","(7, 0.34524724)",,
57,"(1, 0.5037076)","(6, 0.49359694)",,
58,"(1, 0.8524479)","(5, 0.14203003)",,
59,"(5, 0.9964672)",,,
60,"(3, 0.9943089)",,,
61,"(0, 0.9635002)",,,
62,"(3, 0.09695077)","(4, 0.8956813)",,
63,"(4, 0.19134668)","(5, 0.80681306)",,
64,"(5, 0.4297314)","(7, 0.5643042)",,
65,"(1, 0.23769711)","(5, 0.75990653)",,
66,"(0, 0.79014647)","(7, 0.20630084)",,
67,"(5, 0.0760069)","(7, 0.91958773)",,
68,"(3, 0.9975769)",,,
69,"(2, 0.99427086)",,,
70,"(1, 0.99304396)",,,
71,"(5, 0.88636166)","(7, 0.11127278)",,
72,"(2, 0.99504423)",,,
73,"(0, 0.0768786)","(3, 0.7916018)","(5, 0.13060364)",
74,"(0, 0.30346093)","(7, 0.69384515)",,
75,"(4, 0.99916494)",,,
76,"(0, 0.8893022)","(7, 0.108221784)",,
77,"(1, 0.71425384)","(5, 0.28328836)",,
78,"(1, 0.027478674)","(5, 0.96921337)",,
79,"(2, 0.843605)","(5, 0.023697719)","(7, 0.12383701)",
80,"(5, 0.997244)",,,
81,"(7, 0.9968337)",,,
82,"(2, 0.951449)","(3, 0.04569206)",,
83,"(0, 0.36478406)","(7, 0.63350916)",,
