url,gold truth,pegasus summary
https://edition.cnn.com/2023/02/26/sport/australia-south-africa-women-t20-world-cup-spt-intl,"Australia won the Women's T20 World Cup for the sixth time in seven editions, defeating South Africa by 19 runs in Cape Town. Australian openers, Alyssa Healy and Beth Mooney, made an impressive start but frugal South African bowling prevented them from posting a large score. However, Mooney's unbeaten 74 anchored the Australian side's score. South Africa struggled to keep up with the required run-rate, despite a late surge led by Laura Wolvaardt's 61 off 48 balls. This win marks a repeat three-peat for Australia and underlines their dominance in the sport.","It was another triumph for Australia's women in the shortest format of the game, as they successfully defended the title they won last year with a five-wicket victory over New Zealand in the final at the Ageas Bowl in Melbourne on Sunday night, in front of a sell-out crowd of more than 44,000 people, many of whom had travelled from as far afield as England and South Africa."
https://edition.cnn.com/2023/02/27/football/super-league-documentary-football-jeff-zimbalist-spt-intl,"The European Super League (ESL) was a proposed breakaway soccer competition created by 12 of Europe's biggest football clubs, who intended to break away from the European soccer governing body UEFA to create their own league containing 20 teams, including three permanent unnamed clubs and five others who would qualify every year. The plan was to replace the flagship competition of European football, the Champions League. The proposal was controversial and was met with opposition from fans, governments, and other clubs, and was dismantled within 48 hours of becoming public.","The friendship between aleksander eferin and andrea agnelli, then juusvent europe president and club association chairman, was like a ""betrayal"" between friends, according to the director of a new documentary about the plot to break away from uefa and create a new super league for Europe's top football clubs, which led to the decision to scrap the champions league."
https://edition.cnn.com/2023/02/16/golf/tiger-woods-genesis-invitational-pga-tour-spt-intl,"Tiger Woods, playing at the Riviera Country Club for the Genesis Invitational, has said that his mentality remains the same, wanting to win rather than merely participating in the event. Woods' participation is his first official tournament start since the Open Championship in July 2021 and his first non-major PGA Tour event since October 2020. He sustained serious leg injuries in a car accident in February 2021, and his recent career has been plagued by injury and recovery. Woods could make history at the event, with one more victory needed to take him past Sam Snead as the PGA Tour's all-time leading winner.","In terms of his mentality, Tiger woods will be the same woods at the genesisal tournament he hosts where proceeds go to his tgrozo walking foundation, but in terms of his recent career recovery process, he will be the same woods at the event he hosts, but in terms of his recent career recovery process, he will be the same woods at the event he hosts, but in terms of his recent career recovery process, he will be the same woods at the event he hosts, but in terms of his recent career recovery process, he will be the same woods at the event he"
https://edition.cnn.com/2023/02/19/sport/tiger-woods-genesis-invitational-third-round-spt-intl,"Tiger Woods had an impressive third round at the Genesis Invitational, which included an eagle and a drive that ended up in a spectator's jacket. Woods hit an eagle on his first hole, his first since the 2020 Genesis Invitational, and finished the round with a four-under 67. This is his first official tournament start since The Open Championship in July and his first non-major PGA Tour event since the ZOZO Championship in October 2020. Woods has been battling with a grueling recovery process after suffering serious leg injuries in a car accident two years ago. Despite making the cut, he is 12 shots off the leader Jon Rahm, who is on 15 under. Woods will tee off at 11:16am ET in the final round on Sunday.","It was a drive that ended up in a fan's jacket, but tiger woods still managed to shoot a four-under-par 67 and end the day three shots off the lead at the Genesis Open in Los Angeles, USA, on Saturday, 17 March.... and he's not the only player to have had a ball fall into a fan's jacket during this year's PGA Tour's Genesis Open in Los Angeles, USA, on Saturday, 17 March."
https://edition.cnn.com/2023/02/27/sport/jake-paul-loss-tommy-fury-fight-intl-hnk-spt,"YouTuber Jake Paul suffered his first defeat in a split decision against British boxer Tommy Fury at the Diriyah Arena in Saudi Arabia. Two judges scored the fight 76-73 for Fury, with the third judge ruling 75-74 in favor of Paul. Fury praised the win, calling it his destiny, while Paul vowed to use a rematch clause. Millions of fans tuned into the pay-per-view bout, which generated a social media buzz, and several stars were ringside, including Mike Tyson, Cristiano Ronaldo, and Kevin Hart.","Tommy fury beat youtuber jakebrotherpaul in a controversial super-bantamweight world title bout in Riyadh, Saudi Arabia, to claim the Arab world's first super-bantamweight boxing world title in front of a sell-out crowd of more than 20,000 people at an arena near the capital city of saudiaudi Arabia, the kingdom of Saudi Arabia, on Sunday night."
https://edition.cnn.com/2023/02/27/football/lionel-messi-kylian-mbappe-psg-marseille-ligue-1-spt-intl,"PSG defeated Marseille 3-0 on Sunday to extend their lead at the top of the Ligue 1 table to eight points. Kylian Mbappé and Lionel Messi combined for all three goals, with Messi scoring his 700th club goal and Mbappé becoming PSG's joint-record scorer with his 200th goal for the club. PSG coach Christophe Galtier praised Mbappé as the ""best striker in the world."" Despite a strong start from Marseille, PSG dominated the match and secured their first clean sheet since January. However, defender Presnel Kimpembe was stretchered off with a ruptured Achilles tendon, and Galtier was involved in a confrontation with Marseille fans at full time. PSG will next face Nantes in Ligue 1 before attempting to overturn a 1-0 first-leg deficit against Bayern Munich in the Champions League.","Paris Saint-Germain head coach Carlo Ancelotti says his side is ""the best in the world"" after it extended its lead at the top of Ligue 1 to eight points with a comfortable win away at bitter rival marseille on Sunday, reports Xinhua's Yashaswini Srinivasan from the French Ligue 1 club's training ground in Saint-Germain-en-Yves-Bretagne."
https://edition.cnn.com/2023/02/26/sport/byron-jones-nfl-injuries-spt-intl,"Former NFL player Byron Jones, who played for the Dallas Cowboys and Miami Dolphins, tweeted on Saturday that injuries sustained from playing football have left him unable to run or jump. He advised other players to be cautious about the pills and injections provided by team doctors, and to consult an outside doctor to learn about the long-term implications before taking them. Jones has not provided further clarification on his statement, and it is unknown whether he intends to retire from the NFL.","A member of the Dallas Cowboys has warned his fellow players not to take performance-enhancing drugs, saying he has been unable to run or jump for the past eight years because of injuries sustained playing the game, according to a report by the Dallas Morning News ( cnn) and the Associated Press (ap) on Monday night., but his representatives have not responded to cnn's request for more clarity on his statements."
https://edition.cnn.com/2023/02/25/tennis/barbora-krejcikova-iga-swiatek-dubai-tennis-championships-spt-intl,"Barbora Krejcikova caused a major upset by defeating world No. 1 Iga Swiatek in the final of the Dubai Tennis Championships. Swiatek had dropped just nine games on her way to the final, the fewest ever to reach a WTA 1000 final, but was beaten in straight sets by an inspired Krejcikova. The victory marked Krejcikova's first title of the year, and she became the fifth player in history to beat the top three ranked players at the same event. As a result of her win, she is scheduled to rise from No. 30 to No. 16 in the world rankings.","Poland's world number one iga witek was beaten in the final of the Abierto Mexicano Telcel in Acapulco on Sunday, ending a record-breaking run of 22 straight wins and a run of 19 straight wins in a row at this year's WTA 1000 event in the US state of New Mexico, the longest winning streak in the history of women's professional tennis."
https://edition.cnn.com/2023/02/27/tennis/novak-djokovic-steffi-graf-record-tennis-spt-intl,"Novak Djokovic has broken yet another record in his tennis career by surpassing Steffi Graf's record of spending the most weeks at No. 1 in the world. Djokovic started his 378th week as the ATP world No. 1 on Monday, surpassing Graf's record of 377 weeks as the WTA leader. Djokovic achieved this milestone after winning the Australian Open, which was his 22nd major title, tying him with Rafael Nadal for the most grand slam singles titles in men's tennis. Djokovic is currently playing in the Dubai Tennis Championships, his first tournament since the Australian Open, after being out of action with a hamstring injury. His participation in the upcoming Indian Wells and Miami Open tournaments is in doubt due to the United States' Covid-19 vaccination requirements for international visitors. Djokovic, who remains unvaccinated, has applied for special permission to enter the country ahead of both tournaments.","The world's number one tennis player, novak djokovic, has broken the record for the most weeks as the world's top-ranked player, beating the record set by tennis legend, steffi graf, who spent more than 300 weeks at the top of the world rankings, according to the International Tennis Federation (ITF) on Monday, 28 June.., the BBC reports."
https://edition.cnn.com/2023/02/26/sport/armand-duplantis-sixth-world-record-pole-vault-spt-intl,"Armand Duplantis is a 23-year-old Swedish athlete who is considered a great in the sport of pole vaulting. He has already won Olympic, World, and European championships, and has broken the pole vault world record six times, most recently at the All Star Perche 2023 event in Clermont-Ferrand, France. Duplantis broke his own previous record of 6.21m by adding one centimeter to it and achieved the new record of 6.22m on his third attempt. He had previously broken the world record in February 2020 when he surpassed Frenchman Renaud Lavillenie's previous record of 6.17m. Duplantis has jumped over six meters or higher 60 times in his career so far, and his dominance in pole vaulting continues to impress.","He may only be 23 years old, but armand duplantis is already a great sporting athlete, breaking world records at the all star perche 2023 event in clermont-ferrand, but he did so again on breaking the pole vault word record at the all star perche 2023 event in clermont-ferrand, but he did so again on breaking the world record at the all star perche 2023 event in clermont-ferrand, but he did so again on breaking the pole vault word record at the all star perche 2023 event in clermont"
https://edition.cnn.com/2023/02/16/sport/lesley-paterson-all-quiet-on-the-western-front-film-triathlon-spt-intl,"Triathlete and screenwriter Lesley Paterson's experiences while running in the Scottish hills has led to the creation of the opening scenes of the Oscar-nominated film ""All Quiet on the Western Front"". Paterson counts the scenes among her best ideas for film scripts. As well as being a five-time world champion across two formats of off-road triathlon, Paterson is a co-writer of the film, which has been met with great critical acclaim, receiving nine Oscar nominations and 14 BAFTA nominations.","As the world marks the 100th anniversary of the end of World War One, the writer and director of one of this year's Palme d'Or contenders talks about the inspiration behind the film's opening scene, which she describes as ""one of those moments where you know it's good and you think: 'oh my god, the uniform's more important than the man.'"""
